Fecha,Exterior,Interior,Sensor 2,Sensor 1
2018-06-05 11:08:52.624059,26.37,26.86,26.37,27.34
2018-06-05 11:08:53.137821,26.37,26.37,25.88,27.34
2018-06-05 11:08:53.648088,26.37,26.86,26.37,27.34
2018-06-05 11:08:54.151800,26.37,26.37,25.88,27.34
2018-06-05 11:08:54.668297,26.37,26.86,26.37,27.34
2018-06-05 11:08:55.183493,26.37,26.86,26.37,27.83
2018-06-05 11:08:55.710892,26.37,26.37,26.37,27.34
2018-06-05 11:08:56.237651,26.37,26.86,26.37,27.34
2018-06-05 11:08:56.735483,26.37,26.86,26.37,27.34
2018-06-05 11:08:57.250884,26.37,26.86,26.37,27.34
2018-06-05 11:08:57.768203,26.37,26.86,26.37,26.86
2018-06-05 11:08:58.283455,26.37,26.86,26.37,27.34
2018-06-05 11:08:58.786164,26.37,26.86,26.37,27.34
2018-06-05 11:08:59.301417,26.86,26.86,26.37,27.34
2018-06-05 11:08:59.816697,26.37,26.86,26.37,27.34
2018-06-05 11:09:00.334084,26.37,26.86,25.88,27.34
2018-06-05 11:09:00.850199,26.86,26.86,26.37,27.34
2018-06-05 11:09:01.367705,26.37,26.86,26.37,27.34
2018-06-05 11:09:01.883007,26.37,26.37,26.37,27.34
2018-06-05 11:09:02.389015,26.37,26.86,26.37,27.34
2018-06-05 11:09:02.899845,26.37,26.86,26.37,27.34
2018-06-05 11:09:03.416709,26.37,26.37,25.88,27.34
2018-06-05 11:09:03.932193,26.37,26.37,26.37,27.34
2018-06-05 11:09:04.451141,26.37,26.86,25.88,27.34
2018-06-05 11:09:04.963465,25.88,26.37,26.37,27.34
2018-06-05 11:09:05.468503,26.37,26.37,26.37,26.86
2018-06-05 11:09:05.972294,26.37,26.86,25.88,27.34
2018-06-05 11:09:06.484674,26.37,26.86,25.88,27.34
2018-06-05 11:09:06.994658,26.37,26.86,26.37,27.34
2018-06-05 11:09:07.501134,26.37,26.86,25.88,27.34
2018-06-05 11:09:08.008221,26.37,26.37,26.37,27.34
